Date_of_Usage,Region,Service_Type,Demand_Units,Capacity_Allocated,Cost_USD,Service_Availability_Percent,Economic_Activity_Index,Year,Month,Utilization_Ratio
2024-02-14,East US,Compute,1985.0,2282.0,11910.0,99.936,102.7,2024,2,0.8698510078878177
2024-02-14,East US,Storage,1071.0,1231.0,4819.5,99.916,102.7,2024,2,0.8700243704305443
2024-02-15,East US,Compute,2154.0,2477.0,12924.0,99.902,102.86,2024,2,0.8696003229713363
2024-02-15,East US,Storage,1073.0,1233.0,4828.5,99.909,102.86,2024,2,0.870235198702352
2024-02-16,East US,Compute,2072.0,2382.0,12432.0,99.901,102.48,2024,2,0.869857262804366
2024-02-16,East US,Storage,1046.0,1202.0,4707.0,99.98,102.48,2024,2,0.870216306156406
2024-02-17,East US,Compute,2091.0,2404.0,12546.0,99.978,102.19,2024,2,0.8698003327787022
2024-02-17,East US,Storage,1150.0,1322.0,5175.0,99.944,102.19,2024,2,0.869894099848714
2024-02-18,East US,Compute,2123.0,2441.0,12738.0,99.902,102.75,2024,2,0.8697255223269152
2024-02-18,East US,Storage,1048.0,1205.0,4716.0,99.95,102.75,2024,2,0.8697095435684647
2024-02-19,East US,Compute,2144.0,2465.0,12864.0,99.907,102.86,2024,2,0.8697768762677485
2024-02-19,East US,Storage,1093.0,1256.0,4918.5,99.954,102.86,2024,2,0.8702229299363057
2024-02-20,East US,Compute,2042.0,2348.0,12252.0,99.945,102.11,2024,2,0.8696763202725724
2024-02-20,East US,Storage,1045.0,1201.0,4702.5,99.969,102.11,2024,2,0.8701082431307244
2024-02-21,East US,Compute,2082.0,2394.0,12492.0,99.983,102.43,2024,2,0.8696741854636592
2024-02-21,East US,Storage,1117.0,1284.0,5026.5,99.912,102.43,2024,2,0.8699376947040498
2024-02-22,East US,Compute,2115.0,2432.0,12690.0,99.985,102.79,2024,2,0.8696546052631579
2024-02-22,East US,Storage,1170.0,1345.0,5265.0,99.903,102.79,2024,2,0.8698884758364313
2024-02-23,East US,Compute,2097.0,2411.0,12582.0,99.907,102.49,2024,2,0.8697635835752799
2024-02-23,East US,Storage,1114.0,1281.0,5013.0,99.963,102.49,2024,2,0.8696330991412958
2024-02-24,East US,Compute,2121.0,2439.0,12726.0,99.99,103.32,2024,2,0.8696186961869619
2024-02-24,East US,Storage,1191.0,1369.0,5359.5,99.936,103.32,2024,2,0.8699780861943024
2024-02-25,East US,Compute,2068.0,2378.0,12408.0,99.904,102.76,2024,2,0.8696383515559294
2024-02-25,East US,Storage,1091.0,1254.0,4909.5,99.902,102.76,2024,2,0.8700159489633174
2024-02-26,East US,Compute,2199.0,2528.0,13194.0,99.921,103.09,2024,2,0.8698575949367089
2024-02-26,East US,Storage,1104.0,1269.0,4968.0,99.917,103.09,2024,2,0.8699763593380615
2024-02-27,East US,Compute,2196.0,2525.0,13176.0,99.908,102.51,2024,2,0.8697029702970297
2024-02-27,East US,Storage,1219.0,1401.0,5485.5,99.979,102.51,2024,2,0.8700927908636689
2024-02-28,East US,Compute,2071.0,2381.0,12426.0,99.907,102.74,2024,2,0.8698026039479211
2024-02-28,East US,Storage,1164.0,1338.0,5238.0,99.907,102.74,2024,2,0.8699551569506726
2024-02-29,East US,Compute,2159.0,2482.0,12954.0,99.963,102.16,2024,2,0.8698630136986302
2024-02-29,East US,Storage,1155.0,1328.0,5197.5,99.961,102.16,2024,2,0.8697289156626506
2024-03-01,East US,Compute,2145.0,2466.0,12870.0,99.956,102.92,2024,3,0.8698296836982968
2024-03-01,East US,Storage,1145.0,1316.0,5152.5,99.923,102.92,2024,3,0.8700607902735562
2024-03-02,East US,Compute,2122.0,2440.0,12732.0,99.927,103.11,2024,3,0.8696721311475409
2024-03-02,East US,Storage,1153.0,1325.0,5188.5,99.964,103.11,2024,3,0.870188679245283
2024-03-03,East US,Compute,2124.0,2442.0,12744.0,99.938,102.72,2024,3,0.8697788697788698
2024-03-03,East US,Storage,1082.0,1244.0,4869.0,99.972,102.72,2024,3,0.8697749196141479
2024-03-04,East US,Compute,2132.0,2451.0,12792.0,99.919,103.66,2024,3,0.8698490412076704
2024-03-04,East US,Storage,1161.0,1335.0,5224.5,99.903,103.66,2024,3,0.8696629213483146
2024-03-05,East US,Compute,2169.0,2494.0,13014.0,99.911,103.17,2024,3,0.8696872493985566
2024-03-05,East US,Storage,1162.0,1336.0,5229.0,99.939,103.17,2024,3,0.8697604790419161
2024-03-06,East US,Compute,2184.0,2511.0,13104.0,99.97,102.99,2024,3,0.8697729988052568
2024-03-06,East US,Storage,1165.0,1339.0,5242.5,99.904,102.99,2024,3,0.8700522778192681
2024-03-07,East US,Compute,2146.0,2467.0,12876.0,99.903,103.0,2024,3,0.8698824483177949
2024-03-07,East US,Storage,1135.0,1305.0,5107.5,99.912,103.0,2024,3,0.8697318007662835
2024-03-08,East US,Compute,2189.0,2517.0,13134.0,99.931,103.31,2024,3,0.8696861342868494
2024-03-08,East US,Storage,1175.0,1351.0,5287.5,99.973,103.31,2024,3,0.8697261287934863
2024-03-09,East US,Compute,2140.0,2461.0,12840.0,99.921,103.87,2024,3,0.8695652173913043
2024-03-09,East US,Storage,1087.0,1250.0,4891.5,99.961,103.87,2024,3,0.8696
2024-03-10,East US,Compute,2198.0,2527.0,13188.0,99.981,102.94,2024,3,0.8698060941828255
2024-03-10,East US,Storage,1142.0,1313.0,5139.0,99.938,102.94,2024,3,0.8697638994668697
2024-03-11,East US,Compute,2173.0,2449.0,13038.0,99.94402676056336,102.94,2024,3,0.8873009391588403
2024-03-11,East US,Storage,1136.0,1306.0,5112.0,99.946,103.74,2024,3,0.8698315467075038
2024-03-12,East US,Compute,2148.0,2470.0,12888.0,99.93,103.16,2024,3,0.8696356275303644
2024-03-12,East US,Storage,1079.0,1240.0,4855.5,99.975,103.16,2024,3,0.8701612903225806
2024-03-13,East US,Compute,2209.0,2540.0,13254.0,99.919,102.83,2024,3,0.8696850393700788
2024-03-13,East US,Storage,1127.0,1296.0,5071.5,99.905,102.83,2024,3,0.8695987654320988
2024-03-14,East US,Compute,2249.0,2586.0,13494.0,99.913,102.48,2024,3,0.8696829079659706
2024-03-14,East US,Storage,1137.0,1307.0,5116.5,99.903,102.48,2024,3,0.8699311400153023
2024-03-15,East US,Compute,2245.0,2581.0,13470.0,99.978,102.69,2024,3,0.8698179000387447
2024-03-15,East US,Storage,1121.0,1289.0,5044.5,99.984,102.69,2024,3,0.86966640806827
2024-03-16,East US,Compute,2225.0,2558.0,13350.0,99.979,103.33,2024,3,0.8698201720093823
2024-03-16,East US,Storage,1166.0,1340.0,5247.0,99.936,103.33,2024,3,0.8701492537313433
2024-03-17,East US,Compute,2062.0,2371.0,12372.0,99.935,102.85,2024,3,0.8696752425137073
2024-03-17,East US,Storage,1066.0,1225.0,4797.0,99.934,102.85,2024,3,0.8702040816326531
2024-03-18,East US,Compute,2075.0,2386.0,12450.0,99.952,102.65,2024,3,0.8696563285834031
2024-03-18,East US,Storage,1061.0,1220.0,4774.5,99.948,102.65,2024,3,0.8696721311475409
2024-03-19,East US,Compute,2095.0,2409.0,12570.0,99.972,103.38,2024,3,0.8696554586965546
2024-03-19,East US,Storage,1048.0,1205.0,4716.0,99.955,103.38,2024,3,0.8697095435684647
2024-03-20,East US,Compute,2144.0,2465.0,12864.0,99.973,102.21,2024,3,0.8697768762677485
2024-03-20,East US,Storage,1171.0,1346.0,5269.5,99.95,102.21,2024,3,0.8699851411589896
2024-03-21,East US,Compute,2182.0,2509.0,13092.0,99.97,103.02,2024,3,0.8696691909127142
2024-03-21,East US,Storage,1184.0,1361.0,5328.0,99.938,103.02,2024,3,0.8699485672299779
2024-03-22,East US,Compute,2193.0,2521.0,13158.0,99.921,102.61,2024,3,0.8698928996429988
2024-03-22,East US,Storage,1254.0,1442.0,5643.0,99.935,102.61,2024,3,0.869625520110957
2024-03-23,East US,Compute,2118.0,2435.0,12708.0,99.925,102.6,2024,3,0.8698151950718686
2024-03-23,East US,Storage,1088.0,1251.0,4896.0,99.932,102.6,2024,3,0.8697042366107114
2024-03-24,East US,Compute,2228.0,2562.0,13368.0,99.942,103.02,2024,3,0.8696330991412958
2024-03-24,East US,Storage,1164.0,1338.0,5238.0,99.905,103.02,2024,3,0.8699551569506726
2024-03-25,East US,Compute,2074.0,2385.0,12444.0,99.989,103.08,2024,3,0.869601677148847
2024-03-25,East US,Storage,1147.0,1319.0,5161.5,99.976,103.08,2024,3,0.869598180439727
2024-03-26,East US,Compute,2053.0,2360.0,12318.0,99.936,103.11,2024,3,0.8699152542372881
2024-03-26,East US,Storage,1169.0,1344.0,5260.5,99.94,103.11,2024,3,0.8697916666666666
2024-03-27,East US,Compute,2127.0,2446.0,12762.0,99.931,103.04,2024,3,0.8695829926410467
2024-03-27,East US,Storage,1146.0,1317.0,5157.0,99.974,103.04,2024,3,0.8701594533029613
2024-03-28,East US,Compute,2147.0,2469.0,12882.0,99.987,102.85,2024,3,0.8695828270554881
2024-03-28,East US,Storage,1170.0,1345.0,5265.0,99.939,102.85,2024,3,0.8698884758364313
2024-03-29,East US,Compute,2141.0,2462.0,12846.0,99.905,102.4,2024,3,0.8696181965881398
2024-03-29,East US,Storage,1115.0,1282.0,5017.5,99.911,102.4,2024,3,0.8697347893915757
2024-03-30,East US,Compute,2076.0,2387.0,12456.0,99.933,102.69,2024,3,0.8697109342270632
2024-03-30,East US,Storage,1132.0,1301.0,5094.0,99.937,102.69,2024,3,0.8700999231360492
2024-03-31,East US,Compute,2143.0,2464.0,12858.0,99.941,102.71,2024,3,0.869724025974026
2024-03-31,East US,Storage,1084.0,1246.0,4878.0,99.929,102.71,2024,3,0.869983948635634
2024-04-01,East US,Compute,2152.0,2474.0,12912.0,99.903,102.38,2024,4,0.8698464025869038
2024-04-01,East US,Storage,1105.0,1270.0,4972.5,99.981,102.38,2024,4,0.8700787401574803
2024-04-02,East US,Compute,2123.0,2441.0,12738.0,99.964,103.25,2024,4,0.8697255223269152
2024-04-02,East US,Storage,1089.0,1252.0,4900.5,99.927,103.25,2024,4,0.8698083067092651
2024-04-03,East US,Compute,2102.0,2417.0,12612.0,99.955,103.18,2024,4,0.8696731485312371
2024-04-03,East US,Storage,1117.0,1284.0,5026.5,99.97,103.18,2024,4,0.8699376947040498
2024-04-04,East US,Compute,2136.0,2456.0,12816.0,99.984,102.28,2024,4,0.8697068403908795
2024-04-04,East US,Storage,1100.0,1265.0,4950.0,99.939,102.28,2024,4,0.8695652173913043
2024-04-05,East US,Compute,2110.0,2426.0,12660.0,99.968,102.67,2024,4,0.8697444352844188
2024-04-05,East US,Storage,1172.5,1315.0,5276.25,99.94402676056336,102.67,2024,4,0.8916349809885932
2024-04-06,East US,Compute,2044.0,2350.0,12264.0,99.966,102.69,2024,4,0.8697872340425532
2024-04-06,East US,Storage,1245.0,1431.0,5602.5,99.946,102.69,2024,4,0.870020964360587
2024-04-07,East US,Compute,2202.0,2532.0,13212.0,99.955,102.91,2024,4,0.8696682464454977
2024-04-07,East US,Storage,1149.0,1321.0,5170.5,99.917,102.91,2024,4,0.8697956093868282
2024-04-08,East US,Compute,2014.0,2316.0,12084.0,99.98,102.21,2024,4,0.8696027633851469
2024-04-08,East US,Storage,1045.0,1201.0,4702.5,99.937,102.21,2024,4,0.8701082431307244
2024-04-09,East US,Compute,2170.0,2495.0,13020.0,99.924,102.31,2024,4,0.8697394789579158
2024-04-09,East US,Storage,1159.0,1332.0,5215.5,99.974,102.31,2024,4,0.8701201201201201
2024-04-10,East US,Compute,2112.0,2428.0,12672.0,99.954,102.95,2024,4,0.8698517298187809
2024-04-10,East US,Storage,1139.0,1309.0,5125.5,99.938,102.95,2024,4,0.8701298701298701
2024-04-11,East US,Compute,2125.0,2443.0,12750.0,99.927,102.73,2024,4,0.869832173557102
2024-04-11,East US,Storage,1041.0,1197.0,4684.5,99.985,102.73,2024,4,0.8696741854636592
2024-04-12,East US,Compute,2110.0,2426.0,12660.0,99.969,102.85,2024,4,0.8697444352844188
2024-04-12,East US,Storage,1147.0,1319.0,5161.5,99.912,102.85,2024,4,0.869598180439727
2024-04-13,East US,Compute,2193.0,2521.0,13158.0,99.906,102.66,2024,4,0.8698928996429988
2024-04-13,East US,Storage,1116.0,1283.0,5022.0,99.944,102.66,2024,4,0.8698363211223694
2024-04-14,East US,Compute,2147.0,2469.0,12882.0,99.942,102.63,2024,4,0.8695828270554881
2024-04-14,East US,Storage,1134.0,1304.0,5103.0,99.931,102.63,2024,4,0.8696319018404908
2024-04-15,East US,Compute,2077.0,2388.0,12462.0,99.941,102.33,2024,4,0.8697654941373534
2024-04-15,East US,Storage,1134.0,1304.0,5103.0,99.944,102.33,2024,4,0.8696319018404908
2024-04-16,East US,Compute,2148.0,2470.0,12888.0,99.915,102.91,2024,4,0.8696356275303644
2024-04-16,East US,Storage,1188.0,1366.0,5346.0,99.947,102.91,2024,4,0.8696925329428989
2024-04-17,East US,Compute,2124.0,2442.0,12744.0,99.926,102.85,2024,4,0.8697788697788698
2024-04-17,East US,Storage,1058.0,1216.0,4761.0,99.971,102.85,2024,4,0.8700657894736842
2024-04-18,East US,Compute,2143.0,2464.0,12858.0,99.913,102.63,2024,4,0.869724025974026
2024-04-18,East US,Storage,1158.5,1267.0,5213.25,99.94402676056336,102.63,2024,4,0.914364640883978
2024-04-19,East US,Compute,2178.0,2504.0,13068.0,99.965,102.02,2024,4,0.8698083067092651
2024-04-19,East US,Storage,1259.0,1447.0,5665.5,99.98,102.02,2024,4,0.8700760193503801
2024-04-20,East US,Compute,2006.0,2306.0,12036.0,99.93,102.68,2024,4,0.8699045967042498
2024-04-20,East US,Storage,1157.0,1330.0,5206.5,99.974,102.68,2024,4,0.8699248120300752
2024-04-21,East US,Compute,2073.0,2383.0,12438.0,99.961,102.39,2024,4,0.8699118757868234
2024-04-21,East US,Storage,1146.0,1317.0,5157.0,99.929,102.39,2024,4,0.8701594533029613
2024-04-22,East US,Compute,2053.0,2360.0,12318.0,99.978,102.89,2024,4,0.8699152542372881
2024-04-22,East US,Storage,1166.0,1340.0,5247.0,99.96,102.89,2024,4,0.8701492537313433
2024-04-23,East US,Compute,2092.0,2405.0,12552.0,99.967,102.92,2024,4,0.8698544698544699
2024-04-23,East US,Storage,1125.0,1293.0,5062.5,99.983,102.92,2024,4,0.8700696055684455
2024-04-24,East US,Compute,2086.0,2398.0,12516.0,99.909,102.97,2024,4,0.8698915763135947
2024-04-24,East US,Storage,1035.0,1190.0,4657.5,99.954,102.97,2024,4,0.8697478991596639
2024-04-25,East US,Compute,2122.0,2440.0,12732.0,99.906,102.17,2024,4,0.8696721311475409
2024-04-25,East US,Storage,1188.0,1366.0,5346.0,99.975,102.17,2024,4,0.8696925329428989
2024-04-26,East US,Compute,2101.0,2416.0,12606.0,99.98,103.09,2024,4,0.8696192052980133
2024-04-26,East US,Storage,1235.0,1420.0,5557.5,99.957,103.09,2024,4,0.8697183098591549
2024-04-27,East US,Compute,2087.0,2400.0,12522.0,99.923,102.99,2024,4,0.8695833333333334
2024-04-27,East US,Storage,1139.0,1309.0,5125.5,99.933,102.99,2024,4,0.8701298701298701
2024-04-28,East US,Compute,2089.0,2402.0,12534.0,99.946,101.89,2024,4,0.869691923397169
2024-04-28,East US,Storage,1148.0,1320.0,5166.0,99.936,101.89,2024,4,0.8696969696969697
2024-04-29,East US,Compute,2132.0,2451.0,12792.0,99.955,102.73,2024,4,0.8698490412076704
2024-04-29,East US,Storage,1155.0,1328.0,5197.5,99.928,102.73,2024,4,0.8697289156626506
2024-04-30,East US,Compute,2061.0,2408.0,12366.0,99.94402676056336,102.73,2024,4,0.8558970099667774
2024-04-30,East US,Storage,1155.0,1328.0,5197.5,99.96,103.4,2024,4,0.8697289156626506
2024-05-01,East US,Compute,1990.0,2288.0,11940.0,99.901,100.63,2024,5,0.8697552447552448
2024-05-01,East US,Storage,1097.0,1261.0,4936.5,99.938,100.63,2024,5,0.8699444885011896
2024-05-02,East US,Compute,2010.0,2311.0,12060.0,99.928,101.58,2024,5,0.8697533535266119
2024-05-02,East US,Storage,1078.0,1239.0,4851.0,99.972,101.58,2024,5,0.8700564971751412
2024-05-03,East US,Compute,2032.0,2336.0,12192.0,99.914,101.15,2024,5,0.8698630136986302
2024-05-03,East US,Storage,1130.0,1299.0,5085.0,99.902,101.15,2024,5,0.8698999230177059
2024-05-04,East US,Compute,2024.0,2327.0,12144.0,99.944,100.66,2024,5,0.8697894284486464
2024-05-04,East US,Storage,1092.0,1255.0,4914.0,99.987,100.66,2024,5,0.8701195219123506
2024-05-05,East US,Compute,2042.0,2348.0,12252.0,99.935,101.32,2024,5,0.8696763202725724
2024-05-05,East US,Storage,1114.0,1281.0,5013.0,99.931,101.32,2024,5,0.8696330991412958
2024-05-06,East US,Compute,2004.0,2304.0,12024.0,99.95,101.82,2024,5,0.8697916666666666
2024-05-06,East US,Storage,1140.0,1311.0,5130.0,99.913,101.82,2024,5,0.8695652173913043
2024-05-07,East US,Compute,2060.0,2369.0,12360.0,99.948,102.67,2024,5,0.8695652173913043
2024-05-07,East US,Storage,1115.0,1282.0,5017.5,99.978,102.67,2024,5,0.8697347893915757
2024-05-08,East US,Compute,2099.0,2413.0,12594.0,99.926,101.81,2024,5,0.8698715292167426
2024-05-08,East US,Storage,1123.0,1291.0,5053.5,99.935,101.81,2024,5,0.8698683191324554
2024-05-09,East US,Compute,2037.0,2342.0,12222.0,99.976,101.37,2024,5,0.8697694278394534
2024-05-09,East US,Storage,1148.0,1320.0,5166.0,99.98,101.37,2024,5,0.8696969696969697
2024-05-10,East US,Compute,2020.0,2323.0,12120.0,99.919,101.49,2024,5,0.8695652173913043
2024-05-10,East US,Storage,1065.0,1224.0,4792.5,99.901,101.49,2024,5,0.8700980392156863
2024-05-11,East US,Compute,2039.0,2344.0,12234.0,99.937,101.86,2024,5,0.8698805460750854
2024-05-11,East US,Storage,1054.0,1212.0,4743.0,99.906,101.86,2024,5,0.8696369636963697
2024-05-12,East US,Compute,2012.0,2313.0,12072.0,99.921,100.55,2024,5,0.8698659749243407
2024-05-12,East US,Storage,1135.0,1305.0,5107.5,99.984,100.55,2024,5,0.8697318007662835
2024-05-13,East US,Compute,2029.0,2180.0,12174.0,99.94402676056336,100.55,2024,5,0.9307339449541284
2024-05-13,East US,Storage,1101.0,1266.0,4954.5,99.956,101.82,2024,5,0.8696682464454977
2024-05-14,East US,Compute,2046.0,2352.0,12276.0,99.957,101.74,2024,5,0.8698979591836735
2024-05-14,East US,Storage,1060.0,1219.0,4770.0,99.925,101.74,2024,5,0.8695652173913043
2024-05-15,East US,Compute,2067.0,2377.0,12402.0,99.908,102.06,2024,5,0.8695835086243163
