Date_of_Usage,Demand_Units,Capacity_Allocated,Cost_USD,Service_Availability_Percent,Economic_Activity_Index,Year,Month,Utilization_Ratio,Dayofweek,Dayofyear,Weekofyear,Is_Weekend,Demand_Units_Lag_1,Demand_Units_Lag_7,Demand_Units_Lag_30,Demand_Change,Usage_Spike,Region_South India,Region_Southeast Asia,Region_West Europe,Service_Type_Storage
2024-03-03,2124.0,2442.0,12744.0,99.938,102.72,2024,3,0.8697788697788698,6,63,9,True,2122.0,2068.0,2073.0,2.0,False,False,False,False,False
2024-03-04,2132.0,2451.0,12792.0,99.919,103.66,2024,3,0.8698490412076704,0,64,10,False,2124.0,2199.0,2075.0,8.0,False,False,False,False,False
2024-03-05,2169.0,2494.0,13014.0,99.911,103.17,2024,3,0.8696872493985566,1,65,10,False,2132.0,2196.0,2153.0,37.0,False,False,False,False,False
2024-03-06,2184.0,2511.0,13104.0,99.97,102.99,2024,3,0.8697729988052568,2,66,10,False,2169.0,2071.0,2037.0,15.0,False,False,False,False,False
2024-03-07,2146.0,2467.0,12876.0,99.903,103.0,2024,3,0.8698824483177949,3,67,10,False,2184.0,2159.0,2240.0,-38.0,False,False,False,False,False
2024-03-08,2189.0,2517.0,13134.0,99.931,103.31,2024,3,0.8696861342868494,4,68,10,False,2146.0,2145.0,2162.0,43.0,False,False,False,False,False
2024-03-09,2140.0,2461.0,12840.0,99.921,103.87,2024,3,0.8695652173913043,5,69,10,True,2189.0,2122.0,2133.0,-49.0,False,False,False,False,False
2024-03-10,2198.0,2527.0,13188.0,99.981,102.94,2024,3,0.8698060941828255,6,70,10,True,2140.0,2124.0,2170.0,58.0,False,False,False,False,False
2024-03-11,2173.0,2449.0,13038.0,99.94402676056336,102.94,2024,3,0.8873009391588403,0,71,11,False,2198.0,2132.0,2093.0,-25.0,False,False,False,False,False
2024-03-12,2148.0,2470.0,12888.0,99.93,103.16,2024,3,0.8696356275303644,1,72,11,False,2173.0,2169.0,2198.0,-25.0,False,False,False,False,False
2024-03-13,2209.0,2540.0,13254.0,99.919,102.83,2024,3,0.8696850393700788,2,73,11,False,2148.0,2184.0,2002.0,61.0,False,False,False,False,False
2024-03-14,2249.0,2586.0,13494.0,99.913,102.48,2024,3,0.8696829079659706,3,74,11,False,2209.0,2146.0,2105.0,40.0,False,False,False,False,False
2024-03-15,2245.0,2581.0,13470.0,99.978,102.69,2024,3,0.8698179000387447,4,75,11,False,2249.0,2189.0,1985.0,-4.0,False,False,False,False,False
2024-03-16,2225.0,2558.0,13350.0,99.979,103.33,2024,3,0.8698201720093823,5,76,11,True,2245.0,2140.0,2154.0,-20.0,False,False,False,False,False
2024-03-17,2062.0,2371.0,12372.0,99.935,102.85,2024,3,0.8696752425137073,6,77,11,True,2225.0,2198.0,2072.0,-163.0,False,False,False,False,False
2024-03-18,2075.0,2386.0,12450.0,99.952,102.65,2024,3,0.8696563285834031,0,78,12,False,2062.0,2173.0,2091.0,13.0,False,False,False,False,False
2024-03-19,2095.0,2409.0,12570.0,99.972,103.38,2024,3,0.8696554586965546,1,79,12,False,2075.0,2148.0,2123.0,20.0,False,False,False,False,False
2024-03-20,2144.0,2465.0,12864.0,99.973,102.21,2024,3,0.8697768762677485,2,80,12,False,2095.0,2209.0,2144.0,49.0,False,False,False,False,False
2024-03-21,2182.0,2509.0,13092.0,99.97,103.02,2024,3,0.8696691909127142,3,81,12,False,2144.0,2249.0,2042.0,38.0,False,False,False,False,False
2024-03-22,2193.0,2521.0,13158.0,99.921,102.61,2024,3,0.8698928996429988,4,82,12,False,2182.0,2245.0,2082.0,11.0,False,False,False,False,False
2024-03-23,2118.0,2435.0,12708.0,99.925,102.6,2024,3,0.8698151950718686,5,83,12,True,2193.0,2225.0,2115.0,-75.0,False,False,False,False,False
2024-03-24,2228.0,2562.0,13368.0,99.942,103.02,2024,3,0.8696330991412958,6,84,12,True,2118.0,2062.0,2097.0,110.0,False,False,False,False,False
2024-03-25,2074.0,2385.0,12444.0,99.989,103.08,2024,3,0.869601677148847,0,85,13,False,2228.0,2075.0,2121.0,-154.0,False,False,False,False,False
2024-03-26,2053.0,2360.0,12318.0,99.936,103.11,2024,3,0.8699152542372881,1,86,13,False,2074.0,2095.0,2068.0,-21.0,False,False,False,False,False
2024-03-27,2127.0,2446.0,12762.0,99.931,103.04,2024,3,0.8695829926410467,2,87,13,False,2053.0,2144.0,2199.0,74.0,False,False,False,False,False
2024-03-28,2147.0,2469.0,12882.0,99.987,102.85,2024,3,0.8695828270554881,3,88,13,False,2127.0,2182.0,2196.0,20.0,False,False,False,False,False
2024-03-29,2141.0,2462.0,12846.0,99.905,102.4,2024,3,0.8696181965881398,4,89,13,False,2147.0,2193.0,2071.0,-6.0,False,False,False,False,False
2024-03-30,2076.0,2387.0,12456.0,99.933,102.69,2024,3,0.8697109342270632,5,90,13,True,2141.0,2118.0,2159.0,-65.0,False,False,False,False,False
2024-03-31,2143.0,2464.0,12858.0,99.941,102.71,2024,3,0.869724025974026,6,91,13,True,2076.0,2228.0,2145.0,67.0,False,False,False,False,False
2024-04-01,2152.0,2474.0,12912.0,99.903,102.38,2024,4,0.8698464025869038,0,92,14,False,2143.0,2074.0,2122.0,9.0,False,False,False,False,False
2024-04-02,2123.0,2441.0,12738.0,99.964,103.25,2024,4,0.8697255223269152,1,93,14,False,2152.0,2053.0,2124.0,-29.0,False,False,False,False,False
2024-04-03,2102.0,2417.0,12612.0,99.955,103.18,2024,4,0.8696731485312371,2,94,14,False,2123.0,2127.0,2132.0,-21.0,False,False,False,False,False
2024-04-04,2136.0,2456.0,12816.0,99.984,102.28,2024,4,0.8697068403908795,3,95,14,False,2102.0,2147.0,2169.0,34.0,False,False,False,False,False
2024-04-05,2110.0,2426.0,12660.0,99.968,102.67,2024,4,0.8697444352844188,4,96,14,False,2136.0,2141.0,2184.0,-26.0,False,False,False,False,False
2024-04-06,2044.0,2350.0,12264.0,99.966,102.69,2024,4,0.8697872340425532,5,97,14,True,2110.0,2076.0,2146.0,-66.0,False,False,False,False,False
2024-04-07,2202.0,2532.0,13212.0,99.955,102.91,2024,4,0.8696682464454977,6,98,14,True,2044.0,2143.0,2189.0,158.0,False,False,False,False,False
2024-04-08,2014.0,2316.0,12084.0,99.98,102.21,2024,4,0.8696027633851469,0,99,15,False,2202.0,2152.0,2140.0,-188.0,True,False,False,False,False
2024-04-09,2170.0,2495.0,13020.0,99.924,102.31,2024,4,0.8697394789579158,1,100,15,False,2014.0,2123.0,2198.0,156.0,False,False,False,False,False
2024-04-10,2112.0,2428.0,12672.0,99.954,102.95,2024,4,0.8698517298187809,2,101,15,False,2170.0,2102.0,2173.0,-58.0,False,False,False,False,False
2024-04-11,2125.0,2443.0,12750.0,99.927,102.73,2024,4,0.869832173557102,3,102,15,False,2112.0,2136.0,2148.0,13.0,False,False,False,False,False
2024-04-12,2110.0,2426.0,12660.0,99.969,102.85,2024,4,0.8697444352844188,4,103,15,False,2125.0,2110.0,2209.0,-15.0,False,False,False,False,False
2024-04-13,2193.0,2521.0,13158.0,99.906,102.66,2024,4,0.8698928996429988,5,104,15,True,2110.0,2044.0,2249.0,83.0,False,False,False,False,False
2024-04-14,2147.0,2469.0,12882.0,99.942,102.63,2024,4,0.8695828270554881,6,105,15,True,2193.0,2202.0,2245.0,-46.0,False,False,False,False,False
2024-04-15,2077.0,2388.0,12462.0,99.941,102.33,2024,4,0.8697654941373534,0,106,16,False,2147.0,2014.0,2225.0,-70.0,False,False,False,False,False
2024-04-16,2148.0,2470.0,12888.0,99.915,102.91,2024,4,0.8696356275303644,1,107,16,False,2077.0,2170.0,2062.0,71.0,False,False,False,False,False
2024-04-17,2124.0,2442.0,12744.0,99.926,102.85,2024,4,0.8697788697788698,2,108,16,False,2148.0,2112.0,2075.0,-24.0,False,False,False,False,False
2024-04-18,2143.0,2464.0,12858.0,99.913,102.63,2024,4,0.869724025974026,3,109,16,False,2124.0,2125.0,2095.0,19.0,False,False,False,False,False
2024-04-19,2178.0,2504.0,13068.0,99.965,102.02,2024,4,0.8698083067092651,4,110,16,False,2143.0,2110.0,2144.0,35.0,False,False,False,False,False
2024-04-20,2006.0,2306.0,12036.0,99.93,102.68,2024,4,0.8699045967042498,5,111,16,True,2178.0,2193.0,2182.0,-172.0,False,False,False,False,False
2024-04-21,2073.0,2383.0,12438.0,99.961,102.39,2024,4,0.8699118757868234,6,112,16,True,2006.0,2147.0,2193.0,67.0,False,False,False,False,False
2024-04-22,2053.0,2360.0,12318.0,99.978,102.89,2024,4,0.8699152542372881,0,113,17,False,2073.0,2077.0,2118.0,-20.0,False,False,False,False,False
2024-04-23,2092.0,2405.0,12552.0,99.967,102.92,2024,4,0.8698544698544699,1,114,17,False,2053.0,2148.0,2228.0,39.0,False,False,False,False,False
2024-04-24,2086.0,2398.0,12516.0,99.909,102.97,2024,4,0.8698915763135947,2,115,17,False,2092.0,2124.0,2074.0,-6.0,False,False,False,False,False
2024-04-25,2122.0,2440.0,12732.0,99.906,102.17,2024,4,0.8696721311475409,3,116,17,False,2086.0,2143.0,2053.0,36.0,False,False,False,False,False
2024-04-26,2101.0,2416.0,12606.0,99.98,103.09,2024,4,0.8696192052980133,4,117,17,False,2122.0,2178.0,2127.0,-21.0,False,False,False,False,False
2024-04-27,2087.0,2400.0,12522.0,99.923,102.99,2024,4,0.8695833333333334,5,118,17,True,2101.0,2006.0,2147.0,-14.0,False,False,False,False,False
2024-04-28,2089.0,2402.0,12534.0,99.946,101.89,2024,4,0.869691923397169,6,119,17,True,2087.0,2073.0,2141.0,2.0,False,False,False,False,False
2024-04-29,2132.0,2451.0,12792.0,99.955,102.73,2024,4,0.8698490412076704,0,120,18,False,2089.0,2053.0,2076.0,43.0,False,False,False,False,False
2024-04-30,2061.0,2408.0,12366.0,99.94402676056336,102.73,2024,4,0.8558970099667774,1,121,18,False,2132.0,2092.0,2143.0,-71.0,False,False,False,False,False
2024-05-01,1990.0,2288.0,11940.0,99.901,100.63,2024,5,0.8697552447552448,2,122,18,False,2061.0,2086.0,2152.0,-71.0,False,False,False,False,False
2024-05-02,2010.0,2311.0,12060.0,99.928,101.58,2024,5,0.8697533535266119,3,123,18,False,1990.0,2122.0,2123.0,20.0,False,False,False,False,False
2024-05-03,2032.0,2336.0,12192.0,99.914,101.15,2024,5,0.8698630136986302,4,124,18,False,2010.0,2101.0,2102.0,22.0,False,False,False,False,False
2024-05-04,2024.0,2327.0,12144.0,99.944,100.66,2024,5,0.8697894284486464,5,125,18,True,2032.0,2087.0,2136.0,-8.0,False,False,False,False,False
2024-05-05,2042.0,2348.0,12252.0,99.935,101.32,2024,5,0.8696763202725724,6,126,18,True,2024.0,2089.0,2110.0,18.0,False,False,False,False,False
2024-05-06,2004.0,2304.0,12024.0,99.95,101.82,2024,5,0.8697916666666666,0,127,19,False,2042.0,2132.0,2044.0,-38.0,False,False,False,False,False
2024-05-07,2060.0,2369.0,12360.0,99.948,102.67,2024,5,0.8695652173913043,1,128,19,False,2004.0,2061.0,2202.0,56.0,False,False,False,False,False
2024-05-08,2099.0,2413.0,12594.0,99.926,101.81,2024,5,0.8698715292167426,2,129,19,False,2060.0,1990.0,2014.0,39.0,False,False,False,False,False
2024-05-09,2037.0,2342.0,12222.0,99.976,101.37,2024,5,0.8697694278394534,3,130,19,False,2099.0,2010.0,2170.0,-62.0,False,False,False,False,False
2024-05-10,2020.0,2323.0,12120.0,99.919,101.49,2024,5,0.8695652173913043,4,131,19,False,2037.0,2032.0,2112.0,-17.0,False,False,False,False,False
2024-05-11,2039.0,2344.0,12234.0,99.937,101.86,2024,5,0.8698805460750854,5,132,19,True,2020.0,2024.0,2125.0,19.0,False,False,False,False,False
2024-05-12,2012.0,2313.0,12072.0,99.921,100.55,2024,5,0.8698659749243407,6,133,19,True,2039.0,2042.0,2110.0,-27.0,False,False,False,False,False
2024-05-13,2029.0,2180.0,12174.0,99.94402676056336,100.55,2024,5,0.9307339449541284,0,134,20,False,2012.0,2004.0,2193.0,17.0,False,False,False,False,False
2024-05-14,2046.0,2352.0,12276.0,99.957,101.74,2024,5,0.8698979591836735,1,135,20,False,2029.0,2060.0,2147.0,17.0,False,False,False,False,False
2024-05-15,2067.0,2377.0,12402.0,99.908,102.06,2024,5,0.8695835086243163,2,136,20,False,2046.0,2099.0,2077.0,21.0,False,False,False,False,False
2024-05-16,2054.0,2362.0,12324.0,99.986,101.98,2024,5,0.869602032176122,3,137,20,False,2067.0,2037.0,2148.0,-13.0,False,False,False,False,False
2024-05-17,2053.5,2393.0,12321.0,99.94402676056336,101.98,2024,5,0.8581278729628082,4,138,20,False,2054.0,2020.0,2124.0,-0.5,False,False,False,False,False
2024-05-18,2053.0,2360.0,12318.0,99.901,100.91,2024,5,0.8699152542372881,5,139,20,True,2053.5,2039.0,2143.0,-0.5,False,False,False,False,False
2024-05-19,2083.0,2395.0,12498.0,99.947,100.18,2024,5,0.8697286012526096,6,140,20,True,2053.0,2012.0,2178.0,30.0,False,False,False,False,False
2024-05-20,2081.0,2393.0,12486.0,99.936,101.55,2024,5,0.8696197241955704,0,141,21,False,2083.0,2029.0,2006.0,-2.0,False,False,False,False,False
2024-05-21,2111.0,2427.0,12666.0,99.952,101.45,2024,5,0.8697981046559539,1,142,21,False,2081.0,2046.0,2073.0,30.0,False,False,False,False,False
2024-05-22,2039.0,2344.0,12234.0,99.948,101.09,2024,5,0.8698805460750854,2,143,21,False,2111.0,2067.0,2053.0,-72.0,False,False,False,False,False
2024-05-23,2026.0,2329.0,12156.0,99.986,101.19,2024,5,0.8699012451696007,3,144,21,False,2039.0,2054.0,2092.0,-13.0,False,False,False,False,False
2024-05-24,2076.0,2387.0,12456.0,99.968,101.59,2024,5,0.8697109342270632,4,145,21,False,2026.0,2053.5,2086.0,50.0,False,False,False,False,False
2024-05-25,2023.0,2326.0,12138.0,99.939,102.09,2024,5,0.8697334479793637,5,146,21,True,2076.0,2053.0,2122.0,-53.0,False,False,False,False,False
2024-05-26,2076.0,2387.0,12456.0,99.971,101.87,2024,5,0.8697109342270632,6,147,21,True,2023.0,2083.0,2101.0,53.0,False,False,False,False,False
2024-05-27,2146.0,2467.0,12876.0,99.947,101.2,2024,5,0.8698824483177949,0,148,22,False,2076.0,2081.0,2087.0,70.0,False,False,False,False,False
2024-05-28,1996.0,2295.0,11976.0,99.919,101.41,2024,5,0.8697167755991285,1,149,22,False,2146.0,2111.0,2089.0,-150.0,False,False,False,False,False
2024-05-29,2064.0,2373.0,12384.0,99.9,101.98,2024,5,0.8697850821744627,2,150,22,False,1996.0,2039.0,2132.0,68.0,False,False,False,False,False
2024-05-30,1987.0,2285.0,11922.0,99.974,100.96,2024,5,0.8695842450765864,3,151,22,False,2064.0,2026.0,2061.0,-77.0,False,False,False,False,False
2024-05-31,2080.0,2392.0,12480.0,99.927,100.64,2024,5,0.8695652173913043,4,152,22,False,1987.0,2076.0,1990.0,93.0,False,False,False,False,False
2024-06-01,1996.0,2295.0,11976.0,99.925,100.3,2024,6,0.8697167755991285,5,153,22,True,2080.0,2023.0,2010.0,-84.0,False,False,False,False,False
2024-06-02,1874.0,2155.0,11244.0,99.963,100.47,2024,6,0.8696055684454757,6,154,22,True,1996.0,2076.0,2032.0,-122.0,False,False,False,False,False
2024-06-03,1899.0,2183.0,11394.0,99.961,100.35,2024,6,0.869903802107192,0,155,23,False,1874.0,2146.0,2024.0,25.0,False,False,False,False,False
2024-06-04,1923.0,2211.0,11538.0,99.962,99.68,2024,6,0.8697421981004071,1,156,23,False,1899.0,1996.0,2042.0,24.0,False,False,False,False,False
2024-06-05,1866.0,2145.0,11196.0,99.906,100.56,2024,6,0.8699300699300699,2,157,23,False,1923.0,2064.0,2004.0,-57.0,False,False,False,False,False
2024-06-06,1960.0,2254.0,11760.0,99.954,99.69,2024,6,0.8695652173913043,3,158,23,False,1866.0,1987.0,2060.0,94.0,False,False,False,False,False
2024-06-07,1873.0,2153.0,11238.0,99.985,99.35,2024,6,0.8699489084997678,4,159,23,False,1960.0,2080.0,2099.0,-87.0,False,False,False,False,False
2024-06-08,1948.0,2240.0,11688.0,99.908,100.85,2024,6,0.8696428571428572,5,160,23,True,1873.0,1996.0,2037.0,75.0,False,False,False,False,False
2024-06-09,1978.0,2274.0,11868.0,99.922,100.87,2024,6,0.8698328935795955,6,161,23,True,1948.0,1874.0,2020.0,30.0,False,False,False,False,False
2024-06-10,1974.0,2270.0,11844.0,99.967,99.85,2024,6,0.8696035242290749,0,162,24,False,1978.0,1899.0,2039.0,-4.0,False,False,False,False,False
2024-06-11,1912.0,2198.0,11472.0,99.963,100.54,2024,6,0.8698817106460418,1,163,24,False,1974.0,1923.0,2012.0,-62.0,False,False,False,False,False
2024-06-12,1936.0,2226.0,11616.0,99.906,99.11,2024,6,0.8697214734950584,2,164,24,False,1912.0,1866.0,2029.0,24.0,False,False,False,False,False
2024-06-13,1954.5,2214.0,11727.0,99.94402676056336,99.11,2024,6,0.8827913279132791,3,165,24,False,1936.0,1960.0,2046.0,18.5,False,False,False,False,False
2024-06-14,1973.0,2268.0,11838.0,99.916,98.93,2024,6,0.8699294532627866,4,166,24,False,1954.5,1873.0,2067.0,18.5,False,False,False,False,False
2024-06-15,1873.0,2153.0,11238.0,99.922,100.49,2024,6,0.8699489084997678,5,167,24,True,1973.0,1948.0,2054.0,-100.0,False,False,False,False,False
2024-06-16,1966.0,2260.0,11796.0,99.948,100.22,2024,6,0.8699115044247787,6,168,24,True,1873.0,1978.0,2053.5,93.0,False,False,False,False,False
